date,close
2014-06-05,110.41
2014-06-06,111.09
2014-06-09,110.91
2014-06-10,114.07
2014-06-11,112.92
2014-06-12,111.84
2014-06-13,111.1
2014-06-16,111.58
2014-06-17,112.11
2014-06-18,113.33
2014-06-19,114.75
2014-06-20,116.17
2014-06-23,115.49
2014-06-24,115.07
2014-06-25,115.48
2014-06-26,114.11
2014-06-27,114.87
2014-06-30,114.94
2014-07-01,114.78
2014-07-02,114.33
2014-07-03,115.65
2014-07-07,115.1
2014-07-08,114.25
2014-07-09,114.75
2014-07-10,113.44
2014-07-11,113.06
2014-07-14,113.29
2014-07-15,112.66
2014-07-16,112.71
2014-07-17,112.65
2014-07-18,112.65
2014-07-21,111.84
2014-07-22,112.82
2014-07-23,112.85
2014-07-24,113.01
2014-07-25,110.88
2014-07-28,109.79
2014-07-29,109.69
2014-07-30,109.68
2014-07-31,107.98
2014-08-01,107.04
2014-08-04,108.51
2014-08-05,107.8
2014-08-06,107.89
2014-08-07,106.79
2014-08-08,107.68
2014-08-11,108.47
2014-08-12,108.33
2014-08-13,108.08
2014-08-14,109.37
2014-08-15,110.08
2014-08-18,110.73
2014-08-19,111.14
2014-08-20,111.14
2014-08-21,111.14
2014-08-22,110.14
2014-08-25,111.7
2014-08-26,112.01
2014-08-27,111.92
2014-08-28,111.28
2014-08-29,111.78
2014-09-02,111.3
2014-09-03,112.41
2014-09-04,113.42
2014-09-05,113.05
2014-09-08,111.45
2014-09-09,111.48
2014-09-10,111.71
2014-09-11,112.11
2014-09-12,110.95
2014-09-15,114.45
2014-09-16,114.46
2014-09-17,113.26
2014-09-18,114.71
2014-09-19,114.81
2014-09-22,114.56
2014-09-23,114.0
2014-09-24,114.29
2014-09-25,112.53
2014-09-26,112.02
2014-09-29,110.69
2014-09-30,110.85
2014-10-01,107.75
2014-10-02,106.94
2014-10-03,107.45
2014-10-06,108.42
2014-10-07,105.36
2014-10-08,106.55
2014-10-09,105.02
2014-10-10,106.26
2014-10-13,106.03
2014-10-14,105.83
2014-10-15,105.54
2014-10-16,103.85
2014-10-17,106.45
2014-10-20,107.08
2014-10-21,108.23
2014-10-22,106.99
2014-10-23,107.75
2014-10-24,108.75
2014-10-27,108.0
2014-10-28,110.19
2014-10-29,109.92
2014-10-30,110.01
2014-10-31,110.98
2014-11-03,109.55
2014-11-04,109.4
2014-11-05,109.9
2014-11-06,108.5
2014-11-07,108.34
2014-11-10,109.52
2014-11-11,110.4
2014-11-12,109.29
2014-11-13,110.8
2014-11-14,110.77
2014-11-17,110.72
2014-11-18,111.47
2014-11-19,112.2
2014-11-20,112.83
2014-11-21,114.54
2014-11-24,115.31
2014-11-25,115.08
2014-11-26,115.14
2014-11-28,116.99
2014-12-01,116.15
